state,x,y
Andhra Pradesh,-120.0, -223.0
Arunachal Pradesh,363.0, 242.0
Assam,312.0, 171.0
Bihar,94.0, 140.0
Chhattisgarh,-28.0, -3.0
Goa,-280.0, -201.0
Gujarat,-341.0, 57.0
Haryana,-183.0, 255.0
Himachal Pradesh,-154.0, 352.0
Jharkhand,76.0, 59.0
Karnataka,-231.0, -234.0
Kerla,-209.0, -372.0
Madhya Pradesh,-141.0, 54.0
Maharashtra,-232.0, -71.0
Manipur,344.0, 118.0
Meghalaya,264.0, 138.0
Mizoram,317.0, 69.0
Nagaland,367.0, 164.0
Odisha,58.0, -32.0
Punjab,-214.0, 308.0
Rajasthan,-275.0, 179.0
Sikkim,176.0, 206.0
Tamil Nadu,-137.0, -357.0
Telangana,-122.0, -125.0
Andhra Pradesh,-117.0, -120.0
Uttar Pradesh,-62.0, 180.0
Uttarakhand,-101.0, 286.0
West Bengal,160.0, 55.0
